days_ago_posted,company_name,job_title,job_description,num_applicants
2 days ago,INSPYR Solutions,Business Analyst,"Business Analyst    ABOUT THIS FEATURED OPPORTUNITY    The Business Analyst will lead the development and execution of metadata onboarding processes for our data catalog platform. This role is critical in shaping how the team captures, structures, and manages information coming from external sources, ensuring accuracy, consistency, and visibility across the data ecosystem.    THE OPPORTUNITY FOR YOU      Design and implement a scalable process to extract metadata and ingest it into the data catalog application.  Work cross-functionally to bring in information from external sources, aligning it to the catalog's existing format and layout.  Lead the process of catalog population by validating and enriching existing data assets with additional metadata and metrics.  Collaborate with data stewards and technical stakeholders to ensure data quality, lineage clarity, and integrity.  Analyze and document how data elements connect across multiple relational tables; trace the lineage of metrics using entity maps and relational diagrams.  Develop and execute intermediate SQL queries to extract, aggregate, and validate data as part of metadata enrichment and catalog activities.  Define and enforce data quality rules, mappings, and hygiene practices throughout the data lifecycle.  Drive continuous improvement in the data catalog platform's usability and structure by identifying gaps and recommending solutions.     KEY SUCCESS FACTORS    5+ years of experience as a  Business Analyst in a data centric environment    Experience with data quality management, including data hygiene, data mapping, and rule definition    Excellent  process management and  documentation skills i.e. ability to define workflows, standard operating procedures, and metadata collection standards      Strong understanding of  relational database structures and how to join, trace, and map data across systems    Experience using  SQL for querying, aggregation, and data validation     Our benefits package includes:   Comprehensive medical benefits  Competitive pay  401(k) retirement plan  ...and much more!    About INSPYR Solutions Technology is our focus and quality is our commitment. As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients' business objectives and cultural needs. Our solutions are tailored to each client and include a wide variety of professional services, project, and talent solutions. By always striving for excellence and focusing on the human aspect of our business, we work seamlessly with our talent and clients to match the right solutions to the right opportunities. Learn more about us at inspyrsolutions.com.   INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, INSPYR Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities",
1 month ago,CGS Federal (Contact Government Services),Sr. Business Analyst,"Employment Type: Full-Time, ExperiencedDepartment: Information TechnologyCGS is looking for business analysts to work with a large federal agency! As a Business Analyst in Business operations and Content Strategy for CGS, you will partner with internal business owners and external partners to understand new business opportunities and define functional requirements.CGS brings motivated, highly skilled, and creative people together to solve the government’s most dynamic problems with cutting-edge technology. To carry out our mission, we are seeking candidates who are excited to contribute to government innovation, appreciate collaboration, and can anticipate the needs of others. Here at CGS, we offer an environment in which our employees feel supported, and we encourage professional growth through various learning opportunities.Skills and attributes for success: Support the development of briefings, agendas, and other general documentation support as directed, including training material and demonstration sessions for new and existing technologies to various stakeholders Document and analyze business and functional requirements so that they may be accurately translated into process maps and technical system requirements Develop comprehensive documentation that meets organizational standards, to include but not limited to basic system architectural diagrams/wireframes, concepts of operations, monthly status reports Create high-level briefings and communications materials for customers, management, and executive stakeholders Work with the government and team members to identify, recommend, and implement opportunities for service delivery improvement and new technology implementation Evaluate program materials and develop innovative approaches for improvement Independently gather information from subject matter experts to develop, organize, and write procedure manuals, technical specifications, and process documentation Develop and implement a deep understanding of Microsoft and Atlassian products and services (Teams, SharePoint, Visio, Jira, Confluence) to translate complex product information into simple, polished, and engaging content Research, outline, write, and edit new and existing content, working closely with various team members to understand project requirements Develop content in various media forms for maximum usability, with a consistent and cohesive voice across all documentation Perform risk management, including identifying, prioritizing, and mitigating risks, and communicating and escalating risks and issues Support a continuous improvement process by providing recommendations on improving products, services, and processes Manage client interaction and expectations regarding team efforts Identify and coordinate cross-team dependencies and collaboration Continually seek opportunities to increase customer satisfaction, develop and deepen long-lasting client relationshipsQualifications: Must be a U.S. Citizen Bachelor's Degree (Computer Science, or engineering) Must be able to successfully complete a stringent Background Investigation and obtain required Government Security clearance 7+ years of experience in business analysis, systems analysis, and/or design of information systems programs and related business processes Experience working with phase-based and Agile delivery methods Experience with Jira or other Agile tools Ability to clearly communicate technical concepts to both technical and non-technical users Must be able to work well both in a team environment and independently Must possess exceptional attention to detail Excellent interpersonal and communication skills Familiarity with government projects and policy/procedures teams Demonstrates ability to interact comfortably with Senior Leadership and/or Government Executives and staff on a day-to-day basis Experience in managing client requirements and small teams Excellent analytical skills and business presentation skillsIdeally, you will also have: Experience supporting DHS HQ or other US Federal Agencies Experience tracking and reporting project or program delivery progress and budget execution Experience developing project briefs and reports for non-technical audiences Knowledge of the federal acquisition lifecycle Familiarity with Business Intelligence and Data Analytics Project Management, Agile, and/or Cyber Certifications (PMP / ACP / CSM / SAFe / CISM)Our Commitment:Contact Government Services (CGS) strives to simplify and enhance government bureaucracy through the optimization of human, technical, and financial resources. We combine cutting-edge technology with world-class personnel to deliver customized solutions that fit our client’s specific needs. We are committed to solving the most challenging and dynamic problems.For the past seven years, we’ve been growing our government contracting portfolio, and along the way, we’ve created valuable partnerships by demonstrating a commitment to honesty, professionalism, and quality work.Here at CGS we value honesty through hard work and self-awareness, professionalism in all we do, and to deliver the best quality to our consumers mending those relations for years to come.We care about our employees. Therefore, we offer a comprehensive benefits package. Health, Dental, and Vision Life Insurance 401k Flexible Spending Account (Health, Dependent Care, and Commuter) Paid Time Off and Observance of State/Federal HolidaysContact Government Services, LLC is an Equal Opportunity Employer. Applicants will be considered without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Join our team and become part of government innovation!Explore additional job opportunities with CGS on our Job Board:https://cgsfederal.com/join-our-team/For more information about CGS please visit: https://www.cgsfederal.com or contact:Email: info@cgsfederal.com",Be among the first 25 applicants
1 month ago,CGS Federal (Contact Government Services),Business Analyst,"Employment Type: Full-Time, ExperiencedDepartment: Information TechnologyCGS is looking for business analysts to work with a large federal agency! As a Business Analyst in Business operations and Content Strategy for CGS, you will partner with internal business owners and external partners to understand new business opportunities and define functional requirements.CGS brings motivated, highly skilled, and creative people together to solve the government’s most dynamic problems with cutting-edge technology. To carry out our mission, we are seeking candidates who are excited to contribute to government innovation, appreciate collaboration, and can anticipate the needs of others. Here at CGS, we offer an environment in which our employees feel supported, and we encourage professional growth through various learning opportunities.Skills and attributes for success: Support the development of briefings, agendas, and other general documentation support as directed, including training material and demonstration sessions for new and existing technologies to various stakeholders Document and analyze business and functional requirements so that they may be accurately translated into process maps and technical system requirements Develop comprehensive documentation that meets organizational standards, to include but not limited to basic system architectural diagrams/wireframes, concepts of operations, monthly status reports Create high-level briefings and communications materials for customers, management, and executive stakeholders Work with the government and team members to identify, recommend, and implement opportunities for service delivery improvement and new technology implementation Evaluate program materials and develop innovative approaches for improvement Independently gather information from subject matter experts to develop, organize, and write procedure manuals, technical specifications, and process documentation Develop and implement a deep understanding of Microsoft and Atlassian products and services (Teams, SharePoint, Visio, Jira, Confluence) to translate complex product information into simple, polished, and engaging content Research, outline, write, and edit new and existing content, working closely with various team members to understand project requirements Develop content in various media forms for maximum usability, with a consistent and cohesive voice across all documentation Perform risk management, including identifying, prioritizing, and mitigating risks, and communicating and escalating risks and issues Support a continuous improvement process by providing recommendations on improving products, services, and processes Manage client interaction and expectations regarding team efforts Identify and coordinate cross-team dependencies and collaboration Continually seek opportunities to increase customer satisfaction, develop and deepen long-lasting client relationshipsQualifications: Must be a U.S. Citizen Bachelor's Degree (Computer Science, or engineering) Must be able to successfully complete a stringent Background Investigation and obtain required Government Security clearance 7+ years of experience in business analysis, systems analysis, and/or design of information systems programs and related business processes Experience working with phase-based and Agile delivery methods Experience with Jira or other Agile tools Ability to clearly communicate technical concepts to both technical and non-technical users Must be able to work well both in a team environment and independently Must possess exceptional attention to detail Excellent interpersonal and communication skills Familiarity with government projects and policy/procedures teams Demonstrates ability to interact comfortably with Senior Leadership and/or Government Executives and staff on a day-to-day basis Experience in managing client requirements and small teams Excellent analytical skills and business presentation skillsIdeally, you will also have: Experience supporting DHS HQ or other US Federal Agencies Experience tracking and reporting project or program delivery progress and budget execution Experience developing project briefs and reports for non-technical audiences Knowledge of the federal acquisition lifecycle Familiarity with Business Intelligence and Data Analytics Project Management, Agile, and/or Cyber Certifications (PMP / ACP / CSM / SAFe / CISM)Our Commitment:Contact Government Services (CGS) strives to simplify and enhance government bureaucracy through the optimization of human, technical, and financial resources. We combine cutting-edge technology with world-class personnel to deliver customized solutions that fit our client’s specific needs. We are committed to solving the most challenging and dynamic problems.For the past seven years, we’ve been growing our government contracting portfolio, and along the way, we’ve created valuable partnerships by demonstrating a commitment to honesty, professionalism, and quality work.Here at CGS we value honesty through hard work and self-awareness, professionalism in all we do, and to deliver the best quality to our consumers mending those relations for years to come.We care about our employees. Therefore, we offer a comprehensive benefits package. Health, Dental, and Vision Life Insurance 401k Flexible Spending Account (Health, Dependent Care, and Commuter) Paid Time Off and Observance of State/Federal HolidaysContact Government Services, LLC is an Equal Opportunity Employer. Applicants will be considered without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Join our team and become part of government innovation!Explore additional job opportunities with CGS on our Job Board:https://cgsfederal.com/join-our-team/For more information about CGS please visit: https://www.cgsfederal.com or contact:Email: info@cgsfederal.com",Be among the first 25 applicants
1 month ago,PTR Global,Business Analyst I,"Job Description:Business Analyst IDuties:Support the GCS organization by analyzing data, optimizing reporting frameworks, and driving insights that enhance operational efficiency and strategic decision-making. Develop and maintain dashboards and reports using Gainsight, Google Sheets, SFDC, Tableau, and other analytic tools to provide visibility into key performance indicators (KPIs), trends, and areas for improvement. Collaborate cross-functionally with teams across Support, Professional Services, and Operations to ensure data accuracy, streamline workflows, and implement scalable solutions. Standardize and enhance data processes by establishing reporting best practices and ensuring alignment with GCS objectives and business needs. Prepare executive-level reports to communicate insights, trends, and operational performance to leadership and key stakeholders. Analyze support cases, customer interactions, and operational data to identify patterns, improve service effectiveness, and recommend process improvements. Skills:8 to 10 years of proven experience in a highly demanding environment engaged in continuous transformation. Prior proven working experience as a Business Analyst is required Solid people and communication skills (verbal and written), with ability to successfully explain complex matters and provide persuasive support for positions with internal stakeholders, outside partners, and to communicate with all levels of the organizationExtensive experience in using Gainsight, Tableau, Google Sheets, and other related analytics and data visualization tools. Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. Excellent analytical and problem-solving skills, as well as diligent planning abilitiesAbility to continually prioritize and deliver outcomes, in a rapid-growth, rapid-change environmentDisplays personal and corporate integritySelf-starter who enjoys problem-solving with little direct supervisionCollaborative team player with a strong desire to achieve results while respecting the company’s core values framework Software (JIRA/Confluence) and experience with google suite including , slides is requiredEducation:Bachelor’s degree in Business Administration, Information Management or a related field preferred but not required. Skills:Required:Google SheetsProblem SolverBusiness AnalysisBuilding AutomationExcellent communication skillsAdditional:Data VisualizationBig Data AnalyticsProcess ImprovementsSelf-starterConfluenceTeam playerTableau softwareOperationsJIRALanguages:English (Speak, Read, Write)Minimum Degree Required:Completed High School (Diploma or GED)Pay Range: $60 - $70The specific compensation for this position will be determined by a number of factors, including the scope, complexity and location of the role as well as the cost of labor in the market; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. Our full-time consultants have access to benefits including medical, dental, vision and 401K contributions as well as any other PTO, sick leave, and other benefits mandated by appliable state or localities where you reside or work.",
4 weeks ago,DataVisor,Business Operations Analyst,"About DataVisorDataVisor is the world's leading AI-powered Fraud and Risk Platform that delivers the best overall detection coverage in the industry. With an open SaaS platform that supports easy consolidation and enrichment of any data, DataVisor's solution scales infinitely and enables organizations to act on fast-evolving fraud and money laundering activities in real-time. Its patented unsupervised machine learning technology, advanced device intelligence, powerful decision engine, and investigation tools work together to provide guaranteed performance lift from day one. The flexible architecture of DataVisor's platform allows enterprises to power sophisticated and complex use cases across different businesses while dramatically lowering the total cost of ownership. DataVisor is recognized as an industry leader and has been adopted by Fortune 500 companies globally across many industries.Our award-winning software platform is powered by a team of world-class experts in big data, machine learning, security, and scalable infrastructure. Our culture is open, positive, collaborative, and results-driven. Come join us!Key Responsibilities:Manage, configure, and optimize operational software systems across key business functions, including Marketing, Sales, Customer Success, and other teamsSupport system integrations and enhancements for platforms such as CRM, marketing automation, project management, and data enrichment toolsBuild and maintain dashboards and reports to consolidate cross-functional data and deliver actionable business insights to senior leadershipConduct proactive operational analysis to identify business trends, uncover inefficiencies, and support data-driven decision-makingPartner with stakeholders to prepare executive-level deliverables, including recurring business performance summaries and board meeting presentationsAct as a day-to-day resource for data and system-related requests, ensuring teams have the tools and insights needed to execute efficientlyRequirementsSelf-starter who thrives in fast-paced, unstructured environments with limited resources — comfortable wearing multiple hats and driving progress without a playbookResourceful and action-oriented; takes ownership to find creative solutions, remove roadblocks, and move things forward rather than waiting for directionQuick learner with a strong sense of curiosity — especially interested in leveraging AI-powered tools to improve efficiency and impactSolid analytical thinking and a practical understanding of business operations and workflowsSharp attention to detail with the ability to think strategicallyStrong communicator and collaborator, able to work effectively across technical and non-technical teamsA bachelor's degree is required, majoring in business, data science, economy and other related fieldsBenefitsWhy Join DataVisor?Work with cutting-edge AI-driven fraud detection technologyCollaborate with top-tier experts in fraud prevention and cybersecurityMake a significant impact in protecting global enterprises from fraud threatsEnjoy a dynamic, fast-paced, and collaborative work environment",
1 week ago,Tencent Americas,Business & Investment Analyst,"Key Responsibilities:1. Conduct research on the US Enterprise Software industry to assist with formulating investment strategies, prepare detailed analyses of specific segments and companies to identify growth opportunities.2. Support the investment process including but not limited to deal evaluation, financial and commercial due diligence, deal negotiation and execution, and post deal management.3. Liaise externally and internally, especially where investment targets have synergies with and/or implications for Tencent businesses.Required Qualifications:1. High level of integrity, dedication and motivation.2. Bachelor’s/Master’s degree from top schools.3. At least 2 years working experience in an Institutional Investment role.4. Excellent communication and interpersonal skills.5. Strong analytical skills, problem solving skills.6. Fluency in English. Basic Chinese language skills.",
2 weeks ago,Aditi Consulting,Business Analyst - III,"Payrate: $45.00- $50.00/hr. Summary:We are looking for a Sales Compensation & Crediting Analyst to join our Global Sales Compensation team who will be responsible for order review, incentive commission processing and case management functions. The ideal candidate will be self-motivated and detail-oriented, with demonstrated problem-solving and decision-making skills. This individual must be capable of providing guidance on resolution while adhering to policies and processes. This role will be fully engaged in the support of our sales teams and is an outstanding opportunity to partner cross-functionally with our Design and Strategy, Plan Operations and Policy, Reporting and Analytics, and Strategy & Enablement teams. This role is critical to our monthly and quarterly commission processes.  Responsibilities:Manage the monthly commission process for our direct sales teams. This includes understanding and applying the commission plan, ensuring commissions calculations comply with the plan and managing exception requests.Resolve case inquiries and be a trusted advisor to our sales team. Frequent communication with the sales organization via commission cases and/or Slack. Process corrections and adjustments as they arise.Be the trusted partner for all upstream and downstream business functions. Support projects to promote sales enablement, SOX readiness, systems integrations and over process efficiencies in supporting the global sales organizations.Create policy and process changes while ensuring proper documentation.Understand data models, related objects and sales order processes within to be able to analyze gaps and implement processes based on existing functionality. Qualifications:Bachelor’s degree in business, Accounting or related field, and/or 2  years relevant work experienceStrong skills in use of order management or similar systems, preferably previous experience in a CRM environmentStrong problem solving and strong critical thinking skills, the ability to connect the dotsCommunicates effectively across functional groupsStrong analytical, written and oral communication skills; detailed and process-orientedWorks well independently and as a strong team playerResponsive to tight deadlines and ability to prioritize appropriatelyAbility to work in a dynamic and fast-paced environment Skills Required:Google Sheets: AdvancedGoogle Slides: AdvancedMicrosoft Excel: AdvancedSlack: BasicDocumentation: BasicReports & Dashboards: Intermediate Nice to Have Skills:Incentive Compensation Management tool (e.g., Xactly, SPIFF, Callidus, Varicent, etc.)Tableau: BasicSQL Pay Transparency: The typical base pay for this role across the U.S. is: $45.00 - $50.00/hr. Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education and experience and the benefits package you select. Full-time employees are eligible to select from different benefits packages. Packages may include medical, dental, and vision benefits, 10 paid days off, 401(k) plan participation, commuter benefits and life and disability insurance. For information about our collection, use, and disclosure of applicant's personal information as well as applicants' rights over their personal information, please see our Privacy Policy (https://www.aditiconsulting.com/privacy-policy). Aditi Consulting LLC uses AI technology to engage candidates during the sourcing process.  AI technology is used to gather data only and does not replace human-based decision making in employment decisions.  By applying for this position, you agree to Aditi’s use of AI technology, including calls from an AI Voice Recruiter. #AditiConsulting",
4 weeks ago,DataVisor,Business Operations Analyst,"About DataVisorDataVisor is the world's leading AI-powered Fraud and Risk Platform that delivers the best overall detection coverage in the industry. With an open SaaS platform that supports easy consolidation and enrichment of any data, DataVisor's solution scales infinitely and enables organizations to act on fast-evolving fraud and money laundering activities in real-time. Its patented unsupervised machine learning technology, advanced device intelligence, powerful decision engine, and investigation tools work together to provide guaranteed performance lift from day one. The flexible architecture of DataVisor's platform allows enterprises to power sophisticated and complex use cases across different businesses while dramatically lowering the total cost of ownership. DataVisor is recognized as an industry leader and has been adopted by Fortune 500 companies globally across many industries.Our award-winning software platform is powered by a team of world-class experts in big data, machine learning, security, and scalable infrastructure. Our culture is open, positive, collaborative, and results-driven. Come join us!Key Responsibilities:Manage, configure, and optimize operational software systems across key business functions, including Marketing, Sales, Customer Success, and other teamsSupport system integrations and enhancements for platforms such as CRM, marketing automation, project management, and data enrichment toolsBuild and maintain dashboards and reports to consolidate cross-functional data and deliver actionable business insights to senior leadershipConduct proactive operational analysis to identify business trends, uncover inefficiencies, and support data-driven decision-makingPartner with stakeholders to prepare executive-level deliverables, including recurring business performance summaries and board meeting presentationsAct as a day-to-day resource for data and system-related requests, ensuring teams have the tools and insights needed to execute efficientlyRequirementsSelf-starter who thrives in fast-paced, unstructured environments with limited resources — comfortable wearing multiple hats and driving progress without a playbookResourceful and action-oriented; takes ownership to find creative solutions, remove roadblocks, and move things forward rather than waiting for directionQuick learner with a strong sense of curiosity — especially interested in leveraging AI-powered tools to improve efficiency and impactSolid analytical thinking and a practical understanding of business operations and workflowsSharp attention to detail with the ability to think strategicallyStrong communicator and collaborator, able to work effectively across technical and non-technical teamsA bachelor's degree is required, majoring in business, data science, economy and other related fieldsBenefitsWhy Join DataVisor?Work with cutting-edge AI-driven fraud detection technologyCollaborate with top-tier experts in fraud prevention and cybersecurityMake a significant impact in protecting global enterprises from fraud threatsEnjoy a dynamic, fast-paced, and collaborative work environment",
1 week ago,Genista Biosciences,Corporate Strategy Analyst,"Our Company:Genista Biosciences is a rapidly growing biotech company based in San Jose, CA that is dedicated to improving public health and food safety, both on the community and global scale. We utilizes cutting-edge robotics and AI-powered technology to enable partners to meet quality and safety standards, ensuring consistent access to safe products.Our Goal:To revolutionize food safety by creating a cutting-edge platform based on a unique combination of robotics, software, and technology. Our ability to offer fast and accurate testing while still being cost-effective allows every member of the food supply chain (big or small) to be rest assured that the food they produce is safe thereby making the world a better place.About the Role:We are seeking a data-driven a Corporate Strategy Analyst to join our burgeoning commercial/strategy team. Reporting directly to the Head of Growth & Strategy, with dotted lines to other executives including the CEO and Head of Customer Success, you'll own end-to-end analytics - from building integrated revenue and financial models to designing live dashboards. The models you build will have a direct impact on adjusting revenue growth strategy, optimize margins, and inform strategic investments across Business Development, Marketing, Operations, Customer Success, and Laboratory Services.Job Responsibilities:Forecasting and Demand Planning: Derive cost functions across sales, marketing, and operations. Monthly dashboards that track a variety of financial and revenue metricsRevenue Modeling, Reporting, and Analysis: Apply SMA, WMA, exponential smoothing, regression, and time-series analysis to forecast revenues and build well thought-out management reports. Account for complex factors such as revenue seasonality, customer ramp-up, and cohortsMarket Research: Quantify markets across the US/Canada and build reports that identify both geographic and commodity segments that can inform business development efforts.Sales Automation: Implement sales automation workflows via Salesforce and/or other CRMs that facilitate pipeline progression and auto-manage inbound opps, colder opps, and hotter oppsStrategic, Financial Modeling: Design live-view dashboards for revenue, sales volumes, and other KPIs relevant to customer success and marketing efforts. Tools such as Equals, Excel, etc. come in handy so that the team can cut manual reporting by more than 80%Strategy Planning: Work with the Head of Growth & Strategy and CEO to identify opportunities for growth and investment while also maximizing profitability. Can include projects such as hurdle rate calculations for logistics ops, R&D, and moreQualifications:BS and/or MS in a quantitative field (Computer Science, Finance, Economics, etc.)Strong proficiency in SQL/MySQL and experience working with complex datasets2-5 years of relevant experience, with a background in consulting, investment banking, strategic finance, or similar analytical rolesExperience working in high-growth organizationsExceptional analytical skills working in cross-functional environments and with multiple stakeholdersStrong attention to detail with an engineer's mindset but business skillsetExcellent communication skillsExperience in Revenue/Finance operations at other growth-stage startupsKnowledge of or experience with working in organizations that have complex business models and processesJoin us if you have a passion for creative analytics and want to be a part of the journey of a company scaling up at a level comparable to a Series B/C startup. If you also have a keen eye towards having a lasting impact on public health and/or the food/CPG industry, then look no further.",
2 weeks ago,RealREPP,Business Analyst,"RealREPP, a full-service recruiting firm, is currently partnering with a well-known and respected beverage manufacturing company in hiring for a Business Analyst. This Business Analyst will own the full lifecycle of business analysis. Responsibilities will include working as a liaison for team members to elicit, analyze, communicate, and validate requirements for changes to business processes, policies and information systems. The business analyst understands business problems and opportunities in the context of the needs and recommends software, application and systems solutions that enable the organization to achieve its goals.This opportunity offers a flexible, hybrid schedule!ResponsibilitiesWork with business and IT Teams to collect business, functional and technical requirements.Work with Business Relationship Management team to support the development of product roadmaps and determination of benefits / return on investment.Act as the IT product owner and SME of applications involved.Develop business requirements documentation, impact analysis, and functional specifications.Develop process flow, data flow and activity diagrams.Facilitate requirement gathering and design sessions.Support global commercial initiatives as part of the corporate IT group.Build and maintain project documentation.Generate testing documentation and carry out the unit, functional and integration testing of applications during project execution.Requirements3+ years of relevant experience in the alcohol or CPG industryBachelors in a related fieldExperience working with business process redesign projectsStrong analytical skillsStrong Excel skills required – Pivot Tables, V-Lookups, formulas, etc.Experience with planning/reporting/forecasting processes and toolsAbility to prioritize and re-prioritize projects as necessaryThis opportunity offers an industry leading compensation package and a friendly and collaborative environment with significant opportunities for career growth.If you are interested in this opportunity, please apply directly. All qualified candidates will be contacted immediately.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.*",Over 200 applicants
2 days ago,INSPYR Solutions,Business Analyst,"Business Analyst    ABOUT THIS FEATURED OPPORTUNITY    The Business Analyst will lead the development and execution of metadata onboarding processes for our data catalog platform. This role is critical in shaping how the team captures, structures, and manages information coming from external sources, ensuring accuracy, consistency, and visibility across the data ecosystem.    THE OPPORTUNITY FOR YOU      Design and implement a scalable process to extract metadata and ingest it into the data catalog application.  Work cross-functionally to bring in information from external sources, aligning it to the catalog's existing format and layout.  Lead the process of catalog population by validating and enriching existing data assets with additional metadata and metrics.  Collaborate with data stewards and technical stakeholders to ensure data quality, lineage clarity, and integrity.  Analyze and document how data elements connect across multiple relational tables; trace the lineage of metrics using entity maps and relational diagrams.  Develop and execute intermediate SQL queries to extract, aggregate, and validate data as part of metadata enrichment and catalog activities.  Define and enforce data quality rules, mappings, and hygiene practices throughout the data lifecycle.  Drive continuous improvement in the data catalog platform's usability and structure by identifying gaps and recommending solutions.     KEY SUCCESS FACTORS    5+ years of experience as a  Business Analyst in a data centric environment    Experience with data quality management, including data hygiene, data mapping, and rule definition    Excellent  process management and  documentation skills i.e. ability to define workflows, standard operating procedures, and metadata collection standards      Strong understanding of  relational database structures and how to join, trace, and map data across systems    Experience using  SQL for querying, aggregation, and data validation     Our benefits package includes:   Comprehensive medical benefits  Competitive pay  401(k) retirement plan  ...and much more!    About INSPYR Solutions Technology is our focus and quality is our commitment. As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients' business objectives and cultural needs. Our solutions are tailored to each client and include a wide variety of professional services, project, and talent solutions. By always striving for excellence and focusing on the human aspect of our business, we work seamlessly with our talent and clients to match the right solutions to the right opportunities. Learn more about us at inspyrsolutions.com.   INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, INSPYR Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities",
1 month ago,CGS Federal (Contact Government Services),Business Analyst,"Employment Type: Full-Time, ExperiencedDepartment: Information TechnologyCGS is looking for business analysts to work with a large federal agency! As a Business Analyst in Business operations and Content Strategy for CGS, you will partner with internal business owners and external partners to understand new business opportunities and define functional requirements.CGS brings motivated, highly skilled, and creative people together to solve the government’s most dynamic problems with cutting-edge technology. To carry out our mission, we are seeking candidates who are excited to contribute to government innovation, appreciate collaboration, and can anticipate the needs of others. Here at CGS, we offer an environment in which our employees feel supported, and we encourage professional growth through various learning opportunities.Skills and attributes for success: Support the development of briefings, agendas, and other general documentation support as directed, including training material and demonstration sessions for new and existing technologies to various stakeholders Document and analyze business and functional requirements so that they may be accurately translated into process maps and technical system requirements Develop comprehensive documentation that meets organizational standards, to include but not limited to basic system architectural diagrams/wireframes, concepts of operations, monthly status reports Create high-level briefings and communications materials for customers, management, and executive stakeholders Work with the government and team members to identify, recommend, and implement opportunities for service delivery improvement and new technology implementation Evaluate program materials and develop innovative approaches for improvement Independently gather information from subject matter experts to develop, organize, and write procedure manuals, technical specifications, and process documentation Develop and implement a deep understanding of Microsoft and Atlassian products and services (Teams, SharePoint, Visio, Jira, Confluence) to translate complex product information into simple, polished, and engaging content Research, outline, write, and edit new and existing content, working closely with various team members to understand project requirements Develop content in various media forms for maximum usability, with a consistent and cohesive voice across all documentation Perform risk management, including identifying, prioritizing, and mitigating risks, and communicating and escalating risks and issues Support a continuous improvement process by providing recommendations on improving products, services, and processes Manage client interaction and expectations regarding team efforts Identify and coordinate cross-team dependencies and collaboration Continually seek opportunities to increase customer satisfaction, develop and deepen long-lasting client relationshipsQualifications: Must be a U.S. Citizen Bachelor's Degree (Computer Science, or engineering) Must be able to successfully complete a stringent Background Investigation and obtain required Government Security clearance 7+ years of experience in business analysis, systems analysis, and/or design of information systems programs and related business processes Experience working with phase-based and Agile delivery methods Experience with Jira or other Agile tools Ability to clearly communicate technical concepts to both technical and non-technical users Must be able to work well both in a team environment and independently Must possess exceptional attention to detail Excellent interpersonal and communication skills Familiarity with government projects and policy/procedures teams Demonstrates ability to interact comfortably with Senior Leadership and/or Government Executives and staff on a day-to-day basis Experience in managing client requirements and small teams Excellent analytical skills and business presentation skillsIdeally, you will also have: Experience supporting DHS HQ or other US Federal Agencies Experience tracking and reporting project or program delivery progress and budget execution Experience developing project briefs and reports for non-technical audiences Knowledge of the federal acquisition lifecycle Familiarity with Business Intelligence and Data Analytics Project Management, Agile, and/or Cyber Certifications (PMP / ACP / CSM / SAFe / CISM)Our Commitment:Contact Government Services (CGS) strives to simplify and enhance government bureaucracy through the optimization of human, technical, and financial resources. We combine cutting-edge technology with world-class personnel to deliver customized solutions that fit our client’s specific needs. We are committed to solving the most challenging and dynamic problems.For the past seven years, we’ve been growing our government contracting portfolio, and along the way, we’ve created valuable partnerships by demonstrating a commitment to honesty, professionalism, and quality work.Here at CGS we value honesty through hard work and self-awareness, professionalism in all we do, and to deliver the best quality to our consumers mending those relations for years to come.We care about our employees. Therefore, we offer a comprehensive benefits package. Health, Dental, and Vision Life Insurance 401k Flexible Spending Account (Health, Dependent Care, and Commuter) Paid Time Off and Observance of State/Federal HolidaysContact Government Services, LLC is an Equal Opportunity Employer. Applicants will be considered without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Join our team and become part of government innovation!Explore additional job opportunities with CGS on our Job Board:https://cgsfederal.com/join-our-team/For more information about CGS please visit: https://www.cgsfederal.com or contact:Email: info@cgsfederal.com",Be among the first 25 applicants
